Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Fishing Master World Tour,Wii,2009.0,Sports,Hudson Entertainment,0.08,0.0,0.0,0.01,0.09,,,tbd,,Hudson Entertainment,E
Destiny: The Taken King,PS3,2015.0,Shooter,Activision,0.17,0.11,0.02,0.06,0.37,,,5.5,81.0,Bungie,T
Bomberman 64: The Second Attack!,N64,1999.0,Adventure,Hudson Soft,0.05,0.01,0.11,0.0,0.17,,,,,,
Resident Evil 4 HD,XOne,2016.0,Shooter,Capcom,0.02,0.0,0.0,0.0,0.02,,,,,,
Thoroughbred Breeder II Plus,PS,1995.0,Simulation,Hect,0.0,0.0,0.04,0.0,0.04,,,,,,
Medal of Honor: European Assault (weekly JP sales),PS2,2005.0,Shooter,Electronic Arts,0.0,0.0,0.05,0.0,0.05,,,,,,
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013.0,Sports,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,
G1 Jockey 3,PS2,2002.0,Sports,THQ,0.02,0.01,0.07,0.0,0.1,71.0,12.0,9,10.0,Koei/Inis,E
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013.0,Action,FuRyu,0.0,0.0,0.07,0.0,0.07,,,,,,
Barbie: Race & Ride,PS,1999.0,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,,,,,,
James Bond 007: Legends,PS3,2012.0,Shooter,Activision,0.11,0.16,0.0,0.07,0.34,,,,,,
WCW Backstage Assault,N64,,Action,Unknown,0.11,0.03,0.0,0.0,0.14,,,,,,
Sega Superstars,PS2,2004.0,Misc,Sega,0.08,0.06,0.0,0.02,0.17,72.0,28.0,7,5.0,Sonic Team,T
Haunting Ground,PS2,2005.0,Action,Capcom,0.03,0.03,0.0,0.01,0.07,67.0,33.0,8.8,44.0,Capcom,M
ESPN Extreme Games,PS,1994.0,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38,,,,,,
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75.0,30.0,7.7,284.0,Capcom,M
NCAA Final Four 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.1,0.08,0.0,0.03,0.2,45.0,16.0,tbd,,989 Sports,E
Popeye,2600,1982.0,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54,,,,,,
God Eater Resurrection,PS4,2015.0,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,70.0,18.0,7.8,44.0,"Shift, Bandai Namco Games",T
Yogi Bear: The Video Game,DS,2010.0,Action,D3Publisher,0.1,0.03,0.0,0.01,0.14,,,,,,
HardBall 5,PS,1996.0,Sports,SPS,0.07,0.04,0.0,0.01,0.12,,,,,,
Batman: The Brave and the Bold the Videogame,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0.0,0.02,0.29,74.0,14.0,8,8.0,WayForward,E10+
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5,T
Lost Kingdoms,GC,2002.0,Role-Playing,Activision,0.1,0.02,0.04,0.0,0.17,72.0,22.0,8,15.0,From Software,T
ATV: Quad Power Racing,GBA,2002.0,Racing,Liquid Games,0.18,0.07,0.0,0.0,0.26,49.0,7.0,tbd,,Tantalus Interactive,E
Adventure,2600,,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,,,,,,
Digimon World,PS,1999.0,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,,,,,,
Ultimate Ghosts 'n Goblins (JP sales),PSP,2006.0,Platform,Capcom,0.0,0.0,0.05,0.0,0.05,,,,,,
Nuclear Strike,PS,1997.0,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,,,,,,
Mobile Suit Gundam Side Story: Missing Link,PS3,2014.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
NPPL: Championship Paintball 2009,Wii,2008.0,Shooter,Activision Value,0.11,0.0,0.0,0.01,0.12,,,7.7,7.0,FUN Labs,E10+
Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04,0.37,62.0,61.0,7.5,26.0,GRIN,M
Army of Two: The 40th Day,X360,2010.0,Shooter,Electronic Arts,0.62,0.24,0.0,0.09,0.95,73.0,79.0,7.3,126.0,EA Montreal,M
Karaoke Revolution Glee: Volume 3,X360,2011.0,Misc,Konami Digital Entertainment,0.13,0.0,0.0,0.01,0.14,,,tbd,,Hijinx Studios,T
The Idolmaster: Gravure For You! Vol. 2,PS3,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,,,,,,
Kamen Rider: Battride War,PS3,2013.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,,,
Spec Ops: The Line,X360,2012.0,Shooter,Take-Two Interactive,0.21,0.17,0.0,0.04,0.42,76.0,59.0,8.2,319.0,Yager,M
Pitfall: The Lost Expedition,GC,2004.0,Platform,Activision,0.06,0.02,0.0,0.0,0.08,73.0,25.0,8.6,8.0,Edge of Reality,E
Winning Post 8 2015,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
Eco Creatures: Save The Forest,DS,2007.0,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03,55.0,13.0,tbd,,Headlock,E
Phantom Kingdom Portable,PSP,2011.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,,,,,,
The Urbz: Sims in the City,GBA,2004.0,Simulation,Electronic Arts,0.37,0.22,0.0,0.03,0.62,72.0,6.0,9.2,25.0,Griptonite Games,E
TimeSplitters: Future Perfect,PS2,2005.0,Shooter,Electronic Arts,0.12,0.09,0.0,0.03,0.24,84.0,39.0,9.1,117.0,Free Radical Design,M
Medal of Honor: Underground,PS,2000.0,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97,86.0,16.0,9,44.0,Dreamworks Interactive,T
Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,DS,2006.0,Misc,Nintendo,0.0,0.0,0.06,0.0,0.06,,,,,,
Midway Arcade Treasures 2,PS2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,tbd,,Backbone Entertainment,M
Shark Tale,XB,2004.0,Action,Activision,0.15,0.04,0.0,0.01,0.2,67.0,28.0,tbd,,Edge of Reality,E
Road Rash: Jailbreak,GBA,2003.0,Racing,Zoo Digital Publishing,0.07,0.03,0.0,0.0,0.1,78.0,15.0,9.3,23.0,Magic Pockets,T
Destiny,PS3,2014.0,Shooter,Activision,0.68,0.56,0.12,0.25,1.62,,,4.5,445.0,Bungie,T
Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,Ubisoft,1.49,0.46,0.0,0.18,2.12,62.0,5.0,5.2,54.0,Ubisoft,E
NFL GameDay 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,62.0,10.0,8.8,4.0,989 Sports,E
NBA Live 10,X360,2009.0,Sports,Electronic Arts,0.4,0.02,0.0,0.03,0.45,80.0,40.0,7.7,37.0,EA Canada,E
Puppy Palace,DS,2008.0,Simulation,Ubisoft,0.35,0.0,0.0,0.03,0.38,,,tbd,,Ubisoft,E
Mushihimesama Futari Ver 1.5,X360,2009.0,Shooter,Cave,0.0,0.0,0.03,0.0,0.03,,,,,,
Shaun White Skateboarding,Wii,2010.0,Sports,Ubisoft,0.13,0.03,0.0,0.01,0.18,59.0,6.0,tbd,,Ubisoft Montreal,E10+
The Oregon Trail,Wii,2011.0,Simulation,Crave Entertainment,0.14,0.0,0.0,0.01,0.15,,,,,,
Buck Bumble,N64,1998.0,Action,Ubisoft,0.13,0.03,0.0,0.0,0.16,,,,,,
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,,,,,,
Virtua Fighter Kids,SAT,1995.0,Fighting,Sega,0.0,0.0,0.23,0.0,0.23,,,,,,
Resident Evil: Outbreak,PS2,2003.0,Action,Capcom,0.54,0.35,0.46,0.1,1.45,71.0,40.0,8.3,94.0,Capcom,M
G-Police: Weapons of Justice,PS,1999.0,Action,Psygnosis,0.03,0.02,0.0,0.0,0.06,,,,,,
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015.0,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,,,,,,
Dragonfire,2600,1981.0,Action,Imagic,0.35,0.02,0.0,0.0,0.37,,,,,,
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003.0,Action,Take-Two Interactive,0.85,0.66,0.0,0.22,1.72,,,,,,
NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,88.0,15.0,8.9,77.0,EA Tiburon,E
Family Feud: 2012 Edition,X360,2011.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1,47.0,4.0,5.3,6.0,Ubisoft,E10+
Spy Hunter,XB,2002.0,Racing,Midway Games,0.25,0.07,0.0,0.01,0.34,71.0,19.0,tbd,,Point of View,T
Thoroughbred Breeder,SNES,1993.0,Simulation,Hect,0.0,0.0,0.19,0.0,0.19,,,,,,
Densha De Go! 3 Tsuukinhen,PS2,2001.0,Simulation,Taito,0.0,0.0,0.06,0.0,0.06,,,,,,
Metro: Last Light,PS3,2013.0,Action,Deep Silver,0.14,0.18,0.03,0.07,0.42,80.0,23.0,8.2,508.0,4A Games,
One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,Omega Force,T
Vehicular Combat League presents Motor Mayhem,PS2,2001.0,Racing,Atari,0.08,0.06,0.0,0.02,0.16,,,,,,
Juusanshi Engi Engetsu Sangokuden 2,PSP,2014.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
Spider-Man,N64,2000.0,Action,Activision,0.43,0.09,0.0,0.01,0.53,,,,,,
Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006.0,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03,,,,,,
Backyard NBA Basketball,PS2,2003.0,Sports,Atari,0.29,0.22,0.0,0.07,0.59,,,,,,
NHL 2K3,GC,2002.0,Sports,Sega,0.01,0.0,0.0,0.0,0.02,89.0,11.0,7,6.0,Treyarch,E
Shining Stars,DS,2008.0,Action,"Destination Software, Inc",0.03,0.0,0.0,0.0,0.03,,,,,,
Battle Worlds: Kronos,PC,2016.0,Strategy,Nordic Games,0.0,0.01,0.0,0.0,0.01,71.0,15.0,7.1,71.0,KING Art,
Hudson x GReeeeN Live!? DeeeeS!?,DS,2010.0,Misc,Hudson Soft,0.0,0.0,0.03,0.0,0.03,,,,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action,Square Enix,0.0,0.0,0.28,0.0,0.28,,,,,,
Command & Conquer,PS,1996.0,Strategy,Virgin Interactive,0.22,0.15,0.0,0.03,0.4,,,,,,
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015.0,Puzzle,Nintendo,0.06,0.07,0.34,0.01,0.48,,,,,,
Momotarou Dentetsu 16,PS2,2006.0,Misc,Hudson Soft,0.0,0.0,0.21,0.0,0.21,,,,,,
EA Sports Active 2,PS3,2010.0,Sports,Electronic Arts,0.52,0.27,0.0,0.12,0.91,78.0,20.0,5.4,14.0,EA Canada,E
Major League Baseball 2K7,PS3,2007.0,Sports,Spike,0.23,0.0,0.0,0.02,0.25,74.0,19.0,4.7,7.0,Kush Games,E
Total Immersion Racing,PS2,2002.0,Racing,Empire Interactive,0.05,0.04,0.0,0.01,0.11,59.0,7.0,tbd,,Razorworks Studios,E
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSP,2013.0,Role-Playing,Aqua Plus,0.0,0.0,0.08,0.0,0.08,,,,,,
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015.0,Action,D3Publisher,0.0,0.0,0.1,0.0,0.1,,,,,,
Rubik's World,DS,2008.0,Puzzle,Game Factory,0.1,0.01,0.0,0.01,0.12,66.0,8.0,tbd,,Two Tribes,E
Armored Core 4,X360,2007.0,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,65.0,31.0,7.2,31.0,From Software,T
Penguins of Madagascar,3DS,2014.0,Action,Namco Bandai Games,0.0,0.06,0.0,0.0,0.07,51.0,4.0,tbd,,Little Orbit,E
Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,Ubisoft,E10+
Castlevania: Order of Ecclesia,DS,2008.0,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,85.0,46.0,8.7,111.0,Konami,T
Dragon Age: Origins - Ultimate Edition,PC,2010.0,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.02,0.14,,,,,,
X-Men vs. Street Fighter,PS,1997.0,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42,,,,,,
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T
Pimp My Ride: Street Racing,DS,2009.0,Racing,Activision,0.03,0.0,0.0,0.0,0.03,,,tbd,,Virtuos,E
Vigilante 8: 2nd Offense,N64,2000.0,Racing,Activision,0.09,0.02,0.0,0.0,0.11,,,,,,
Forza Horizon 2,XOne,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86.0,85.0,8.2,977.0,Playground Games,E10+
Disney's The Jungle Book,GBA,2002.0,Platform,Ubisoft,0.07,0.03,0.0,0.0,0.1,60.0,4.0,tbd,,Visual Impact,E
Streak: Hoverboard Racing,PS,1998.0,Racing,GT Interactive,0.09,0.06,0.0,0.01,0.15,,,,,,
My Hero Academia: Battle for All,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
Donkey Kong Land,GB,1994.0,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91,,,,,,
Lost Planet 3,PS3,2013.0,Shooter,Capcom,0.07,0.05,0.06,0.02,0.21,61.0,30.0,5.5,102.0,Spark Unlimited,T
Sega Arcade Gallery,GBA,2003.0,Misc,THQ,0.03,0.01,0.0,0.0,0.04,70.0,12.0,tbd,,Bits Studios,E
Triple Play 2000,N64,1999.0,Sports,Electronic Arts,0.27,0.01,0.0,0.0,0.28,,,,,,
Cabela's Dangerous Hunts 2011,DS,2010.0,Sports,Activision,0.11,0.0,0.0,0.01,0.12,,,tbd,,Activision,T
Penny Racers,PS,1996.0,Racing,Sony Computer Entertainment,0.0,0.0,0.23,0.02,0.25,,,,,,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996.0,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51,,,,,,
The Sum of All Fears,GC,2003.0,Shooter,Ubisoft,0.03,0.01,0.0,0.0,0.03,36.0,11.0,3.4,5.0,Ubisoft Shanghai,T
Front Mission Evolved,PC,2010.0,Shooter,Square Enix,0.05,0.0,0.0,0.0,0.05,63.0,13.0,5.1,48.0,Double Helix Games,T
Pharaoh,PC,1998.0,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02,,,8.6,45.0,Impressions Games,E
Grey's Anatomy: The Video Game,Wii,2009.0,Adventure,Ubisoft,0.05,0.01,0.0,0.0,0.06,65.0,4.0,tbd,,Longtail Studios,T
Tokyo Xtreme Racer,DC,1999.0,Racing,Genki,0.0,0.0,0.17,0.0,0.17,,,,,,
GRID 2,PC,2013.0,Racing,Codemasters,0.0,0.06,0.0,0.01,0.06,80.0,17.0,5.7,571.0,Codemasters,E
The Lord of the Rings: War in the North,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.0,0.03,0.19,66.0,21.0,7.1,289.0,Snowblind Studios,M
FIFA Soccer 2002,GC,2001.0,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18,81.0,13.0,8,9.0,EA Sports,E
Crimson Sea 2,PS2,2004.0,Action,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,75.0,27.0,8.3,6.0,Koei,T
Michael Jackson: The Experience,PS3,2011.0,Misc,Ubisoft,0.25,0.19,0.0,0.08,0.52,66.0,11.0,8.4,16.0,Ubisoft Montreal,E10+
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012.0,Action,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09,,,,,,
Ben 10 Galactic Racing,X360,2011.0,Racing,D3Publisher,0.07,0.02,0.0,0.01,0.1,,,tbd,,Monkey Bar Games,E
Hell's Kitchen: The Game,Wii,2008.0,Simulation,Ubisoft,0.3,0.0,0.0,0.03,0.33,,,,,,
Atari's Greatest Hits: Volume 2,DS,2011.0,Misc,Atari,0.05,0.0,0.0,0.0,0.06,,,,,,
NFL Head Coach,PS2,2006.0,Sports,Electronic Arts,0.38,0.01,0.0,0.06,0.45,66.0,22.0,6.9,15.0,EA Tiburon,E
NBA Live 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.07,0.03,0.06,0.39,,,7.3,8.0,EA Sports,E
Mortal Kombat,X360,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.63,0.31,0.0,0.16,2.1,86.0,66.0,8.3,382.0,NetherRealm Studios,M
Beetle Adventure Racing!,N64,1999.0,Racing,Electronic Arts,0.4,0.2,0.0,0.02,0.62,,,,,,
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,
Cabela's Legendary Adventures,PSP,2008.0,Sports,Activision,0.16,0.0,0.0,0.02,0.17,,,tbd,,FUN Labs,T
NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.02,90.0,17.0,6.2,91.0,Visual Concepts,E
3D Dot Game Heroes,PS3,2009.0,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8,96.0,Silicon Studio,E10+
BeatMania,PS2,2006.0,Simulation,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,67.0,30.0,8.9,11.0,Konami,E10+
Tao Feng: Fist of the Lotus,XB,2003.0,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.27,65.0,32.0,6.5,8.0,Studio Gigante,M
Rapala for Kinect,X360,2011.0,Sports,Activision,0.0,0.02,0.0,0.0,0.02,,,tbd,,Activision,E
Disney's Kim Possible: Kimmunicator,DS,2005.0,Platform,Disney Interactive Studios,0.11,0.01,0.0,0.01,0.13,61.0,14.0,7.5,4.0,Artificial Mind and Movement,E
Ninja Reflex,Wii,2008.0,Action,Electronic Arts,0.11,0.0,0.0,0.01,0.12,49.0,26.0,6,11.0,Sanzaru Games,E10+
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004.0,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27,67.0,21.0,8.4,20.0,Racjin,T
PixelJunk Monsters Deluxe,PSP,2010.0,Strategy,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12,86.0,27.0,7.9,32.0,Q-Games,E
Digimon Adventure,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,,,,,,
Tomb Raider: Anniversary,X360,2007.0,Action,Eidos Interactive,0.12,0.22,0.0,0.05,0.39,77.0,33.0,8.3,39.0,Crystal Dynamics,T
TRON: Evolution - Battle Grids,Wii,2010.0,Racing,Disney Interactive Studios,0.17,0.02,0.0,0.01,0.21,,,,,,
NiGHTS into dreams...,SAT,1996.0,Platform,Sega,0.0,0.0,0.43,0.0,0.43,,,,,,
Bigfoot King of Crush,Wii,2011.0,Racing,Zoo Games,0.02,0.0,0.0,0.0,0.02,,,tbd,,Zoo Games,E
NCIS,X360,2011.0,Adventure,Ubisoft,0.1,0.02,0.0,0.01,0.14,35.0,11.0,4.7,7.0,Ubisoft,T
Sengoku Efuda Yuugi: Hototogisu Ran,PSP,2008.0,Misc,Irem Software Engineering,0.0,0.0,0.02,0.0,0.02,,,,,,
GT Pro Series,Wii,2006.0,Racing,Ubisoft,0.46,0.01,0.02,0.04,0.52,41.0,15.0,4,21.0,MTO,E
Bomberman (jp sales),PSP,2006.0,Puzzle,Konami Digital Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,
Metroid II: Return of Samus,GB,1991.0,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,,,,,,
thinkSMART,DS,2010.0,Misc,Conspiracy Entertainment,0.09,0.0,0.0,0.01,0.09,,,tbd,,"Crave, DTP Entertainment",E
Darksiders II,X360,2012.0,Action,THQ,0.45,0.27,0.0,0.07,0.79,83.0,63.0,8,456.0,Vigil Games,M
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,,
Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.3,56.0,22.0,8.4,9.0,Konami,E
Science Papa,DS,2009.0,Misc,Activision,0.09,0.01,0.0,0.01,0.1,,,tbd,,Activision,E
Romance of the Three Kingdoms 13,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,,,,,,
Jig-A-Pix: Pets,DS,2009.0,Puzzle,Zushi Games,0.03,0.0,0.0,0.0,0.04,,,tbd,,Frame Studios Interactive,E
Meteos,DS,2005.0,Puzzle,Nintendo,0.15,0.01,0.06,0.01,0.23,88.0,49.0,7.5,164.0,Q Entertainment,E
My Secret World by Imagine,DS,2008.0,Misc,Ubisoft,0.0,0.2,0.0,0.0,0.2,,,8.8,5.0,Ubisoft,E
Kamen Rider: Battride War Genesis,PS4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,,
Littlest Pet Shop: City Friends,DS,2009.0,Simulation,Electronic Arts,0.29,0.0,0.0,0.02,0.32,,,tbd,,Electronic Arts,E
Rocksmith 2014,X360,2013.0,Misc,Ubisoft,0.69,0.16,0.0,0.09,0.94,,,,,,
 Tales of Xillia 2,PS3,2012.0,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71.0,59.0,7.9,216.0,Bandai Namco Games,T
Clu Clu Land,NES,1984.0,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,,,,,,
Dragon Quest Monsters: Caravan Heart,GBA,2003.0,Role-Playing,Enix Corporation,0.0,0.0,0.64,0.02,0.66,,,,,,
R-Type Command (correct US sales),PSP,2007.0,Strategy,Rising Star Games,0.04,0.0,0.0,0.0,0.04,,,,,,
Warhammer Online: Age of Reckoning,PC,2008.0,Role-Playing,GOA,0.0,0.02,0.0,0.0,0.02,86.0,54.0,7.9,374.0,EA Mythic,T
Kong: The Animated Series,GBA,2002.0,Action,BAM! Entertainment,0.01,0.0,0.0,0.0,0.02,52.0,4.0,tbd,,Planet Interactive,E
NBA Hangtime,PS,1996.0,Sports,Midway Games,0.03,0.02,0.0,0.0,0.06,,,,,,
The Sims 2,DS,2005.0,Simulation,Electronic Arts,0.81,0.05,0.0,0.07,0.93,70.0,13.0,6.1,24.0,Griptonite Games,E10+
Petz: Catz Playground,DS,2010.0,Simulation,Ubisoft,0.02,0.0,0.0,0.0,0.03,,,tbd,,Ubisoft,E
Karaoke Revolution,XB,2004.0,Misc,Konami Digital Entertainment,0.06,0.02,0.0,0.0,0.09,80.0,13.0,8.5,4.0,Secret Level,E
The Nightmare of Druaga: Fushigino Dungeon,PS2,2004.0,Role-Playing,Arika,0.03,0.02,0.0,0.01,0.05,,,,,,
Hannah Montana: Music Jam,DS,2007.0,Action,Disney Interactive Studios,1.05,0.36,0.0,0.15,1.56,,,,,,
WWE 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,5.0,3.1,57.0,Yuke's,T
Hello Kitty: Roller Rescue,PC,2005.0,Action,Empire Interactive,0.0,0.03,0.0,0.0,0.03,,,,,,
Summer Athletics: The Ultimate Challenge (US sales),Wii,2008.0,Sports,DTP Entertainment,0.23,0.03,0.0,0.0,0.27,,,,,,
World of Warcraft: Mists of Pandaria,PC,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.22,1.82,82.0,42.0,4.8,1265.0,Blizzard Entertainment,T
F1 2013,X360,2013.0,Racing,Codemasters,0.01,0.27,0.0,0.02,0.3,79.0,29.0,6.6,33.0,Codemasters,E
Guilty Gear Judgment,PSP,2006.0,Fighting,Majesco Entertainment,0.13,0.0,0.02,0.01,0.16,77.0,17.0,6.6,8.0,Arc System Works,T
Jewel Quest II,PC,2007.0,Puzzle,Avanquest,0.0,0.01,0.0,0.0,0.01,,,tbd,,iWin,E
The Fairly Odd Parents: Shadow Showdown,PS2,2004.0,Platform,THQ,0.17,0.13,0.0,0.04,0.35,,,,,,
WWE SmackDown! Here Comes the Pain,PS2,2003.0,Fighting,THQ,1.32,1.06,0.04,0.38,2.8,,,,,,
Plants vs. Zombies: Garden Warfare 2,XOne,2016.0,Shooter,Electronic Arts,0.29,0.15,0.0,0.04,0.48,80.0,64.0,8.1,79.0,PopCap,E10+
Need for Speed Underground Rivals,PSP,2005.0,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,74.0,36.0,8.5,38.0,Team Fusion,E
Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,"Opus, Project Sora",E10+
Batman Beyond: Return of the Joker,PS,2000.0,Action,Ubisoft,0.09,0.06,0.0,0.01,0.17,,,4.3,7.0,Kemco,
Rock Band Country Track Pack,Wii,2009.0,Misc,MTV Games,0.41,0.0,0.0,0.03,0.44,,,tbd,,Harmonix Music Systems,E10+
Custom Robo,GC,2004.0,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37,65.0,31.0,8.1,27.0,Noise Inc.,T
Ouchi Mainichi Tamagotchi,3DS,2012.0,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,,,,,,
Just Dance: Summer Party,Wii,2011.0,Misc,Ubisoft,0.4,0.0,0.0,0.02,0.42,,,tbd,,Ubisoft,E10+
Katekyoo Hitman Reborn! Battle Arena,PSP,2008.0,Fighting,Marvelous Interactive,0.0,0.0,0.04,0.0,0.04,,,,,,
3D Baseball,PS,1996.0,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,,
MechAssault 2: Lone Wolf,XB,2004.0,Simulation,Microsoft Game Studios,0.27,0.08,0.0,0.01,0.36,81.0,66.0,7.5,23.0,Day 1 Studios,T
The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,,,,,,
Jikkyou Powerful Pro Baseball 2016,PS3,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
NBA Jam,X360,2010.0,Sports,Electronic Arts,0.27,0.09,0.0,0.03,0.39,75.0,30.0,7,24.0,EA Canada,E
Transformers: Devastation,PS3,2015.0,Action,Activision,0.03,0.04,0.0,0.01,0.08,,,7.1,17.0,PlatinumGames,T
NCAA Final Four 2001,PS2,2000.0,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,49.0,10.0,tbd,,989 Sports,E
